ZXBvY2gscHJpY2UKMTYxOTAyMjA4NS43OTQwMDIsMC4yNTIxMjU0MDAK
1619022143.743016,0.252800000
epoch,price
epoch,price
epoch,price
epoch,price
epoch,price
1619022436.971652,0.253700000
1619022439.279162,0.253645300
1619022440.354650,0.253700000
1619022440.356367,0.253700000
1619022440.357705,0.253700000
1619022440.851641,0.253960000
1619022440.853008,0.254205100
epoch,price
1619022480.911111,0.253391800
epoch,price
