epoch,price
1618963616.493670,0.270598400
1618992442.652812,0.266442100
1618992444.043943,0.266334300
1618993162.202904,0.267274300
1618993164.828412,0.267709300
1618993229.269382,0.270126500
1618993229.270576,0.270089500
1618993229.271792,0.269910200
1618993229.273143,0.269877400
1618993229.274977,0.269877400
1618993229.276864,0.269877400
1618993229.278679,0.269877400
1618993229.280357,0.269877400
1618993276.741561,0.271662200
1618993276.743144,0.271669500
1618993276.744382,0.271669500
1618993276.745572,0.271800000
1618993276.746679,0.271849800
1618993276.748056,0.271869100
1618993276.749076,0.271958300
