Date,Open,High,Low,Close,Adj Close,Volume,UpperB,LowerB,PercentB
2011-07-01,132.08999599999999,134.100006,131.779999,133.919998,117.16165900000001,202385700,132.3739267196934,125.31607258030661,1.2190568478425539
2011-07-05,133.779999,134.080002,133.389999,133.809998,117.06543700000002,165936000,133.25429658204953,124.91270321795051,1.0666181380097153
2011-07-06,133.490005,134.139999,133.110001,133.970001,117.20542900000001,143331600,134.0409145374349,124.62708466256514,0.9924670895504275
2011-07-07,135.16000400000001,135.699997,134.880005,135.360001,118.42147800000001,170464200,135.0770136969637,124.28498580303634,1.0262218839515378
2011-07-08,133.830002,135.360001,133.389999,134.399994,117.58161899999999,194100500,135.7211098925789,124.14088960742113,0.8859161691188057
2011-07-11,132.75,133.179993,131.66000400000001,131.970001,115.455704,195918600,135.89890982996442,124.40008997003561,0.658320690486167
2011-07-12,131.690002,132.779999,131.360001,131.399994,114.957031,214675700,135.9893777788433,124.67962172115674,0.5942101884925997
2011-07-13,132.08999599999999,133.220001,131.520004,131.83999599999999,115.341949,204062600,136.1324731888082,124.78852521119182,0.6216064109886577
2011-07-14,132.169998,132.779999,130.679993,130.929993,114.54586,226111800,136.09334719306906,125.21865080693101,0.5251955539971873
2011-07-15,131.66000400000001,131.869995,130.770004,131.690002,115.210724,220012800,136.0923832089016,125.65861469109849,0.5780641288533636
2011-07-18,131.080002,131.279999,129.630005,130.610001,114.26588400000001,196872100,135.95415030231615,126.15284739768394,0.45475113315899734
2011-07-19,131.33999599999999,132.889999,131.309998,132.729996,116.120598,166554900,135.99266347859893,126.61733412140117,0.6519943615533818
2011-07-20,133.070007,133.149994,132.419998,132.649994,116.050583,137145400,136.10426882922326,126.82572847077684,0.6277135523715454
2011-07-21,133.399994,134.820007,132.669998,134.490005,117.66033200000001,245246300,136.38720761206548,127.12479038793458,0.7951719765848163
2011-07-22,134.520004,134.720001,133.759995,134.580002,117.73908999999999,126019400,136.5641497206708,127.57584817932934,0.7792522078231626
2011-07-25,133.300003,134.490005,133.16000400000001,133.830002,117.082932,136653800,136.22967583396726,128.61232246603285,0.6849727565391952
2011-07-26,133.740005,133.96000700000002,133.029999,133.330002,116.645531,131278200,135.87592423498452,129.50507406501563,0.60037951496873
2011-07-27,132.58999599999999,132.630005,130.429993,130.600006,114.25714099999999,249020100,135.7497945977982,129.73020420220195,0.14449518000998562
2011-07-28,130.600006,131.770004,130.009995,130.220001,113.92466,207939900,135.8027380472533,129.62726075274682,0.09598290447613791
