epoch,price
1621410353.223883,2456.00000
1621410353.669366,2456.00000
1621410354.962493,2453.96000
1621410356.038010,2453.96000
1621410356.625220,2453.96000
1621410357.735180,2453.96000
1621410358.699436,2453.96000
1621410359.407411,2453.96000
1621410359.838365,2453.96000
1621410361.033947,2453.96000
1621410361.544894,2453.96000
1621410361.546145,2453.96000
1621410361.548217,2453.97000
1621410362.476092,2455.00000
1621410363.211002,2456.58000
1621410363.940341,2456.57000
1621410365.634423,2456.56000
1621410366.281366,2456.57000
1621410366.283044,2456.58000
1621410366.285253,2456.58000
1621410366.286665,2457.06000
1621410366.287920,2457.15000
1621410366.291781,2458.44000
1621410366.293407,2459.10000
1621410366.295455,2459.10000
1621410366.296735,2459.13000
1621410366.298051,2459.14000
1621410366.363265,2456.56000
1621410367.698509,2457.64000
1621410367.786888,2458.69000
1621410367.788066,2458.79000
1621410368.499990,2458.47000
1621410368.533628,2458.47000
1621410369.524645,2457.96000
1621410370.189339,2458.79000
1621410370.190697,2458.80000
1621410372.000430,2457.78000
1621410373.606772,2457.61000
1621410373.836358,2456.43000
1621410373.838641,2456.43000
1621410373.839501,2455.94000
1621410373.873612,2455.94000
1621410374.581793,2456.06000
1621410376.280903,2456.37000
1621410376.282444,2456.38000
1621410376.645948,2455.12000
1621410377.660633,2455.77000
1621410377.981808,2455.16000
1621410378.204725,2456.64000
1621410380.720253,2455.00000
1621410381.709686,2455.00000
1621410381.711751,2455.00000
1621410381.713455,2455.00000
1621410382.106393,2455.00000
1621410382.107794,2454.92000
1621410382.699157,2453.95000
1621410383.215478,2453.95000
1621410383.427926,2454.48000
1621410385.002968,2453.97000
1621410385.027539,2453.97000
1621410385.204388,2453.97000
1621410385.682137,2454.25000
1621410385.836382,2453.98000
1621410385.837844,2453.95000
1621410386.332022,2454.96000
1621410386.433382,2453.95000
1621410388.538283,2453.96000
1621410389.303651,2453.95000
1621410390.417892,2452.96000
1621410390.766171,2452.32000
1621410390.768482,2452.32000
1621410390.770217,2452.32000
1621410392.305863,2452.27000
1621410393.990900,2451.12000
1621410394.043908,2450.59000
1621410394.538298,2450.00000
1621410394.568398,2450.00000
1621410394.571214,2450.00000
1621410394.573710,2450.00000
1621410394.590175,2450.00000
1621410394.602555,2448.94000
1621410394.786663,2447.83000
1621410394.788058,2447.37000
1621410395.500984,2447.95000
1621410396.834591,2446.83000
1621410397.875187,2446.83000
1621410398.750653,2446.19000
1621410398.752295,2446.70000
1621410398.754083,2446.71000
1621410399.897234,2446.74000
1621410399.921403,2446.74000
1621410399.922760,2446.82000
1621410399.925905,2446.83000
1621410399.927400,2446.83000
1621410403.414173,2445.18000
1621410403.420087,2446.11000
1621410404.207396,2445.18000
1621410404.437132,2446.08000
1621410404.438992,2446.11000
1621410404.440073,2446.11000
1621410404.799965,2445.79000
1621410405.102901,2445.24000
1621410405.166747,2445.24000
1621410406.335448,2445.64000
1621410406.632821,2445.00000
1621410406.634996,2444.06000
1621410406.685226,2444.06000
1621410406.686900,2443.11000
1621410406.688687,2443.10000
1621410406.690601,2442.84000
1621410406.693738,2442.84000
1621410406.865887,2445.62000
1621410409.385710,2442.73000
1621410409.387089,2442.16000
1621410409.437071,2442.16000
1621410409.439070,2442.15000
1621410409.440809,2442.15000
1621410409.443612,2442.15000
1621410409.928062,2442.69000
1621410409.929637,2442.29000
1621410410.687060,2444.91000
1621410411.836915,2445.11000
1621410412.433431,2445.67000
1621410413.713750,2445.43000
1621410413.715910,2445.42000
1621410413.717584,2445.17000
1621410414.763502,2445.12000
1621410417.181921,2445.11000
1621410417.678250,2445.68000
1621410417.680176,2446.21000
1621410418.869579,2445.12000
1621410419.055097,2445.67000
1621410419.056825,2446.83000
1621410419.392680,2447.39000
1621410419.394385,2447.39000
